company	company_number	days_left	equity_perc_offered	founded	investment_received	investment_required	location	num_investors	pitch_id	pitch_url	scheme	sector_1	sector_2	sector_3	type	Source
Dirt Factory	09490482	 	45.18%	14th March 2015	£435,580	£300,000	Mossley, Greater Manchester	546	pitch-19456	https://www.crowdcube.com/investment/dirt-factory-19456	EIS	Sport & Leisure	Health & Fitness	Retail	 A (£3,000), B	Crowdcube
Doisy and Dam	07999718	 	8.11%	21st March 2012	£300,000	£150,000	City of Westminster, London	84	pitch-20913	https://www.crowdcube.com/investment/doisy-and-dam-20913	EIS	Food and Drink			 A (£5,000), B	Crowdcube
AutoTrip	08703170	 	20.00%	23rd September 2013	£473,440	£350,000	London	446	pitch-20802	https://www.crowdcube.com/investment/autotrip-20802	EIS	Technology	Professional and Business Services	IT and Telecommunications	 A (£5,000), B	Crowdcube
Pocket Land Bond	04538848	 		17th September 2002	£2,500,000		City of Westminster, London	448	pitch-20590	https://www.crowdcube.com/investment/pocket-land-bond-20590		Other				Crowdcube
Rentify	07723819	 	4.76%	31st July 2011	£1,382,769	£1,000,000	Islington, London	506	pitch-20851	https://www.crowdcube.com/investment/rentify-20851	EIS	Technology	Other		 A (£50,000, optional), Ordinary Shares	Crowdcube
MyGravity	09129309	 	4.23%	13th July 2014	£156,440	£150,000	London	3	pitch-20735	https://www.crowdcube.com/investment/mygravity-20735	SEIS	Internet Business	Other	Retail	 A (£10,000), B	Crowdcube
LUCY'S DRESSINGS	09497428	 	10.34%	19th March 2015	£124,990	£75,000	London	93	pitch-20648	https://www.crowdcube.com/investment/lucy-s-dressings-20648	EIS	Food and Drink			 A (£3,000), B	Crowdcube
THE FRIDAY BEER CO.	07695092	 	25.00%	5th July 2011	£169,760	£150,000	Malvern	260	pitch-20786	https://www.crowdcube.com/investment/the-friday-beer-co-20786	EIS	Consumer products	Retail	Food and Drink	 A (£5,000), B	Crowdcube
Primo	08583025	 	7.41%	24th June 2013	£274,726	£200,000	Camden, London	294	pitch-18884	https://www.crowdcube.com/investment/primo-18884	EIS	Technology	Art and Design	Education	 Ordinary Shares	Crowdcube
12TH BATTALION PRODUCTIONS	08915716	 	10.50%	27th February 2014	£139,880	£140,000	Brent, London	39	pitch-20637	https://www.crowdcube.com/investment/12th-battalion-productions-20637	EIS	Technology	Media and Creative Services		 A Shares Only	Crowdcube
TripConsul	09135893	 	15.62%	16th July 2014	£144,900	£100,000	London	77	pitch-20759	https://www.crowdcube.com/investment/tripconsul-20759	SEIS	Technology	Internet Business	Leisure and Tourism	 A (£3,000), B	Crowdcube
ChargeBox	05342386	 	11.00%	25th January 2005	£505,940	£500,000	Chiswick, London	155	pitch-20526	https://www.crowdcube.com/investment/chargebox-20526	EIS	Technology	Manufacturing		 A (£5,000), B	Crowdcube
CAT IN A FLAT	09002109	 	4.76%	16th April 2014	£50,610	£50,000	London	72	pitch-20595	https://www.crowdcube.com/investment/cat-in-a-flat-20595	SEIS	Professional and Business Services			 A (£5,000), B	Crowdcube
Sourced Market Bond	06845733	 		13th March 2009	£961,000		Camden, London	252	pitch-20656	https://www.crowdcube.com/investment/sourced-market-bond-20656		Retail	Food and Drink			Crowdcube
Eight Point Nine	07598529	 	16.67%	10th April 2011	£149,910	£150,000	London	134	pitch-20508	https://www.crowdcube.com/investment/eight-point-nine-20508	EIS	Internet Business	Consumer products	Food and Drink	 A (£3,000), B	Crowdcube
Crowdfunder	07831511	 	6.67%	2nd November 2011	£1,317,900	£1,000,000	Newquay, Cornwall	912	pitch-19203	https://www.crowdcube.com/investment/crowdfunder-19203	EIS	Technology	Internet Business	Media and Creative Services	 A (£10,000), B	Crowdcube
The Stable Musical Theatre UK	08795628	 	6.39%	29th November 2013	£64,560	£60,000	City of Westminster, London	109	pitch-18809	https://www.crowdcube.com/investment/the-stable-musical-theatre-uk-18809	EIS	TV and Theatre	Film		 A (£5,000), B	Crowdcube
POD Point - Open Charge Bond	09827454	 		15th October 2015	£373,450		Islington, London	154	pitch-20655	https://www.crowdcube.com/investment/pod-point-open-charge-bond-20655		Technology	Consumer products	Environmental and Ethical		Crowdcube
THE VILLAGE HABERDASHERY	07424986	 	12.00%	1st November 2010	£98,070	£80,000	London	261	pitch-20660	https://www.crowdcube.com/investment/the-village-haberdashery-20660	EIS	Retail			 A Shares Only	Crowdcube
HAANDLE	09247593	 	15.00%	2nd October 2014	£149,950	£150,000	Sheffield	60	pitch-20631	https://www.crowdcube.com/investment/haandle-20631	SEIS	Technology	Internet Business	Consumer products	 A (£5,000), B	Crowdcube
TASTE Cocktails	09578819	 	7.41%	6th May 2015	£83,610	£60,000	London	192	pitch-20732	https://www.crowdcube.com/investment/taste-cocktails-20732	SEIS	Internet Business	Consumer products	Food and Drink	 A (£2,000), B	Crowdcube
ECONNECT CARS	08459290	 	17.59%	25th March 2013	£464,620	£400,000	London	214	pitch-20761	https://www.crowdcube.com/investment/econnect-cars-20761	EIS	Consumer products	Environmental and Ethical	Professional and Business Services	 A (£2,500), B	Crowdcube
Bondi Bond		 			£773,000		City of Westminster, London	217	pitch-20653	https://www.crowdcube.com/investment/bondi-bond-20653		Food and Drink				Crowdcube
Run an Empire	09606827	 	5.51%	25th May 2015	£123,040	£70,000	Tower Hamlets, London	120	pitch-20682	https://www.crowdcube.com/investment/run-an-empire-20682	SEIS	Sport & Leisure	Technology	Health & Fitness	 A (£10,000), B	Crowdcube
One Rebel	08827353	 	13.04%	30th December 2013	£2,916,020	£1,500,000	London	433	pitch-20724	https://www.crowdcube.com/investment/one-rebel-20724	EIS	Sport & Leisure	Health & Fitness	Food and Drink	 A (£25,000), B	Crowdcube
Po-Zu	09558583	 	16.67%	22nd April 2015	£199,940	£150,000	London	119	pitch-20751	https://www.crowdcube.com/investment/po-zu-20751	EIS	Consumer products	Environmental and Ethical	Retail	 A (£5,000), B	Crowdcube
Seadog Productions	08964770	 	22.00%	28th March 2014	£415,390	£275,000	Dartmouth, Devon	346	pitch-20510	https://www.crowdcube.com/investment/seadog-productions-20510	EIS	TV and Theatre	Film		 A (£2,500), B	Crowdcube
My Mate Your Date	08769822	 	7.21%	11th November 2013	£85,820	£75,000	Islington, London	97	pitch-19325	https://www.crowdcube.com/investment/my-mate-your-date-19325	EIS	Technology	Internet Business	Consumer products	 A (£2,500), B	Crowdcube
HEN RESTAURANTS	09221955	 	11.76%	16th September 2014	£147,830	£100,000	Brighton	139	pitch-20621	https://www.crowdcube.com/investment/hen-restaurants-20621	SEIS	Food and Drink			 A Shares Only	Crowdcube
ONGALLERY	08914200	 	11.12%	27th February 2014	£322,740	£250,000	London	136	pitch-20616	https://www.crowdcube.com/investment/ongallery-20616	EIS	Consumer products	Media and Creative Services		 A (£5,000), B	Crowdcube
CADENCE PERFORMANCE	07966116	 	11.11%	27th February 2012	£594,780	£300,000	London	228	pitch-20721	https://www.crowdcube.com/investment/cadence-performance-20721	EIS	Sport & Leisure	Health & Fitness		 A (£2,000), B	Crowdcube
CHRYSALIS VISION	08898913	 	26.67%	17th February 2014	£329,010	£200,000	London	196	pitch-20678	https://www.crowdcube.com/investment/chrysalis-vision-20678	EIS	Media and Creative Services			 B Shares Only	Crowdcube
Empiribox	08261350	 	5.26%	18th October 2012	£112,530	£125,000	London	111	pitch-18864	https://www.crowdcube.com/investment/empiribox-18864	EIS	Technology	Professional and Business Services	Education	 A (£5,000), B	Crowdcube
Faction Skis		 	3.51%		£775,870	£500,000	Shoreditch, London	222	pitch-20685	https://www.crowdcube.com/investment/faction-skis-20685	EIS	Sport & Leisure	Consumer products	Retail	 A Shares Only	Crowdcube
HICI	09372824	 	15.38%	5th January 2015	£124,360	£100,000	Newark	90	pitch-20718	https://www.crowdcube.com/investment/hici-20718	SEIS	Consumer products	Retail	Manufacturing	 A (£3,000), B	Crowdcube
InYourStride	08844173	 	13.64%	14th January 2014	£118,160	£100,000	Bristol, City of Bristol	92	pitch-19795	https://www.crowdcube.com/investment/inyourstride-19795	EIS	Sport & Leisure	Technology	Health & Fitness	 A (£3,000), B	Crowdcube
BidStack	09835625	 	9.09%	20th October 2015	£137,650	£100,000	Haringey, London	67	pitch-20749	https://www.crowdcube.com/investment/bidstack-20749	SEIS	Technology	Internet Business	Media and Creative Services	 A (£3,000), B	Crowdcube
Skin Analytics	07919560	 	23.45%	23rd January 2012	£504,110	£450,000	Islington, London	219	pitch-20273	https://www.crowdcube.com/investment/skin-analytics-20273	EIS	Consumer products	Health & Fitness		 A (£5,000), B	Crowdcube
Earlybird	09075003	 	20.00%	5th June 2014	£303,340	£300,000	Tower Hamlets, London	185	pitch-20109	https://www.crowdcube.com/investment/earlybird-20109	EIS	Internet Business	Health & Fitness	Food and Drink	 A (£3,000), B	Crowdcube
GF Foods	06406368	 	12.50%	22nd October 2007	£182,400	£200,000	Selby	143	pitch-20491	https://www.crowdcube.com/investment/gf-foods-20491	EIS	Food and Drink			 A (£2,500), B	Crowdcube
Wool and the Gang	08332008	 	9.09%	14th December 2012	£1,013,920	£750,000	Hackney, London	492	pitch-19321	https://www.crowdcube.com/investment/wool-and-the-gang-19321	EIS	Internet Business	Retail	Art and Design	 Ordinary and Seed Preferred 3 Shares (£25,000)	Crowdcube
Alquity	07992381	 	4.48%	15th March 2012	£578,340	£500,000	London	379	pitch-19092	https://www.crowdcube.com/investment/alquity-19092	EIS	Environmental and Ethical	Other	Professional and Business Services	 Preferred Ordinary Shares & B Shares	Crowdcube
BrewDog	SC311560	 	78.12%	7th November 2006	£814,815	£500,000	Ellon, Aberdeenshire	1072	pitch-20465	https://www.crowdcube.com/investment/brewdog-20465		Consumer products	Food and Drink		 B Shares Only	Crowdcube
BrewDog Bond	SC311560	 		7th November 2006	£2,312,000		Ellon, Aberdeenshire	815	pitch-20331	https://www.crowdcube.com/investment/brewdog-bond-20331		Consumer products	Food and Drink			Crowdcube
Growing Underground	08067659	 	10.00%	13th May 2012	£243,190	£200,000	Lambeth, London	309	pitch-19996	https://www.crowdcube.com/investment/growing-underground-19996	EIS	Environmental and Ethical	Manufacturing	Food and Drink	 A (£5,000), B	Crowdcube
Vulpine	07211640	 	9.09%	31st March 2010	£1,006,510	£500,000	Wandsworth, London	582	pitch-19885	https://www.crowdcube.com/investment/vulpine-19885	EIS	Sport & Leisure	Consumer products	Health & Fitness	 A (£10,000), B	Crowdcube
ALEXI	09211904	 	15.79%	9th September 2014	£176,590	£150,000	London	156	pitch-20579	https://www.crowdcube.com/investment/alexi-20579	SEIS	Media and Creative Services			 A (£1,500), B	Crowdcube
ioLight	08905428	 	10.00%	20th February 2014	£242,180	£150,000	Whitchurch, Hampshire	249	pitch-19736	https://www.crowdcube.com/investment/iolight-19736	EIS	Technology	Manufacturing	Education	 A (£3,000), B	Crowdcube
HonestBrew	08276744	 	15.00%	1st November 2012	£401,220	£300,000	City of Westminster, London	426	pitch-16341	https://www.crowdcube.com/investment/honestbrew-16341	EIS	Technology	Internet Business	Food and Drink	 B Ordinary Shares & C Ordinary Shares	Crowdcube
CoControl	09018497	 	14.29%	29th April 2014	£149,790	£100,000	Southwark, London	124	pitch-19853	https://www.crowdcube.com/investment/cocontrol-19853	SEIS	Technology	Environmental and Ethical	Other	 A (£10,000), B	Crowdcube
eMoov.co.uk	07118826	 	5.00%	7th January 2010	£2,622,360	£1,000,000	Pilgrims Hatch, Brentwood, Essex	765	pitch-18256	https://www.crowdcube.com/investment/emoov-co-uk-18256	EIS	Internet Business	Consumer products	Professional and Business Services	 Seed and C Ordinary shares	Crowdcube
Evogro	07832826	 	16.50%	2nd November 2011	£282,350	£250,000	East Malling, Kent	229	pitch-18686	https://www.crowdcube.com/investment/evogro-18686	EIS	Technology	Food and Drink		 A (£5,000), B	Crowdcube
Hochanda	09534899	 	16.37%	9th April 2015	£1,962,744	£1,900,000	Peterborough	275	pitch-20117	https://www.crowdcube.com/investment/hochanda-20117	EIS	TV and Theatre	Film	Retail,Internet Business	 C shares only	Crowdcube
A Suit That Fits	09218525	 	5.00%	14th September 2014	£876,700	£500,000	Southwark, London	463	pitch-19582	https://www.crowdcube.com/investment/a-suit-that-fits-19582	EIS	Internet Business	Consumer products	Retail	 A (£10,000), B	Crowdcube
StaySafe	07642192	 	18.18%	19th May 2011	£532,800	£500,000	London	195	pitch-19183	https://www.crowdcube.com/investment/staysafe-19183	EIS	Technology	Professional and Business Services	IT and Telecommunications	 A (£5,000), B	Crowdcube
Synap	08862590	 	15.00%	27th January 2014	£195,940	£180,000	Leeds, West Yorkshire	140	pitch-19333	https://www.crowdcube.com/investment/synap-19333	EIS	Technology	Internet Business	Education	 A (£5,000), B	Crowdcube
451Life.com	08429631	 	18.00%	5th March 2013	£156,380	£150,000	Lambeth, London	95	pitch-18438	https://www.crowdcube.com/investment/451life-com-18438	SEIS	Internet Business	Consumer products	Media and Creative Services	 A (£500), B	Crowdcube
Mara Seaweed	SC390829	 	13.72%	29th December 2010	£507,375	£500,000	Edinburgh, City of Edinburgh	240	pitch-18352	https://www.crowdcube.com/investment/mara-seaweed-18352	EIS	Food and Drink			 A (£10,000), B	Crowdcube
Clippings.com	08356423	 	10.53%	11th January 2013	£845,620	£500,000	Islington, London	129	pitch-19638	https://www.crowdcube.com/investment/clippings-com-19638	EIS	Consumer products	Retail	Art and Design	 Pref B (£200,000), A (£25,000), B	Crowdcube
Stockflare	08522490	 	20.00%	8th May 2013	£454,800	£300,000	Royal Borough of Kensington and Chelsea, London	274	pitch-19320	https://www.crowdcube.com/investment/stockflare-19320	EIS	Technology	Internet Business		 A (£1,000), B	Crowdcube
SOM SAA	09016359	 	45.00%	28th April 2014	£700,000	£550,000	Tower Hamlets, London	101	pitch-16580	https://www.crowdcube.com/investment/som-saa-16580	EIS	Food and Drink			 A (£10,000), B	Crowdcube
Square Pie Bond	03605922	 		28th July 1998	£655,500		Tower Hamlets, London	324	pitch-19666	https://www.crowdcube.com/investment/square-pie-bond-19666		Food and Drink				Crowdcube
Cake	08050202	 	7.06%	29th April 2012	£1,054,110	£800,000	London	258	pitch-19479	https://www.crowdcube.com/investment/cake-19479	EIS	Technology	Retail	Food and Drink	 A Shares Only	Crowdcube
Earwig Academic Timelines	08304947	 	8.00%	23rd November 2012	£248,570	£152,000	Ripley, Surrey	112	pitch-18392	https://www.crowdcube.com/investment/earwig-academic-timelines-18392	EIS	Education			 A (£10,000), B	Crowdcube
MonetaFlex	09141916	 	13.00%	21st July 2014	£169,270	£100,000	Islington, London	133	pitch-20014	https://www.crowdcube.com/investment/monetaflex-20014	SEIS	Technology	Internet Business		 A Shares Only	Crowdcube
Himachal	09377870	 	15.12%	7th January 2015	£76,170	£65,000	Nelson, Lancashire	148	pitch-20327	https://www.crowdcube.com/investment/himachal-20327	SEIS	Food and Drink			 A Shares Only	Crowdcube
ZigZag Global	09404819	 	15.00%	26th January 2015	£124,320	£100,000	Richmond, Greater London	116	pitch-19117	https://www.crowdcube.com/investment/zigzag-global-19117	SEIS	Technology	Internet Business	Retail	 A (£1,000), B	Crowdcube
Lingos	08424592	 	8.08%	28th February 2013	£148,830	£150,000	Islington, London	82	pitch-18072	https://www.crowdcube.com/investment/lingos-18072	EIS	Internet Business	Consumer products	Professional and Business Services	 A (£10,000), B	Crowdcube
Filmore & Union	08277436	 	13.33%	1st November 2012	£864,870	£500,000	Wetherby, North Yorkshire	295	pitch-19132	https://www.crowdcube.com/investment/filmore-union-19132	EIS	Health & Fitness	Retail	Food and Drink	 A (£10,000), B	Crowdcube
Grind Bond	08794400	 		28th November 2013	£1,294,000		London	447	pitch-19689	https://www.crowdcube.com/investment/grind-bond-19689		Food and Drink				Crowdcube
Kwiziq	08278198	 	15.00%	1st November 2012	£200,000	£150,000	Wandsworth, London	67	pitch-19289	https://www.crowdcube.com/investment/kwiziq-19289	EIS	Technology	Internet Business	Education	 B Shares Only	Crowdcube
Fitmibody	09592947	 	30.00%	14th May 2015	£75,230	£75,000	Old Street	144	pitch-19958	https://www.crowdcube.com/investment/fitmibody-19958	SEIS	Sport & Leisure	Health & Fitness		 A Shares Only	Crowdcube
Cape Fisheries	09382592	 	20.00%	12th January 2015	£136,390	£100,000	Southampton	121	pitch-19718	https://www.crowdcube.com/investment/cape-fisheries-19718	SEIS	Environmental and Ethical	Food and Drink		 A (£750), B	Crowdcube
Brew, a Pub for Tea	09105845	 	27.80%	26th June 2014	£179,310	£180,000	Wandsworth, London	292	pitch-18869	https://www.crowdcube.com/investment/brew-a-pub-for-tea-18869	EIS	Food and Drink			 A Shares Only	Crowdcube
Innovation Makers	08551488	 	20.00%	30th May 2013	£439,060	£400,000	Ebbw Vale, Blaenau Gwent	157	pitch-19504	https://www.crowdcube.com/investment/innovation-makers-19504	EIS	Consumer products	Leisure and Tourism	Manufacturing	 A (£2,500), B	Crowdcube
LUMO. Be seen on your bike.	09126270	 	14.29%	10th July 2014	£256,520	£200,000	Chichester, West Sussex	174	pitch-19076	https://www.crowdcube.com/investment/lumo-be-seen-on-your-bike-19076	EIS	Technology	Internet Business	Consumer products	 A (£3,000), B	Crowdcube
FieldCandy	08326947	 	10.00%	11th December 2012	£417,170	£200,000	Chesterfield, Derbyshire	188	pitch-19487	https://www.crowdcube.com/investment/fieldcandy-19487	EIS	Consumer products	Leisure and Tourism	Manufacturing	 A (£5,000), B	Crowdcube
Pavegen	06980029	 	4.48%	3rd August 2009	£1,903,400	£750,000	King's Cross, London	1474	pitch-19189	https://www.crowdcube.com/investment/pavegen-19189	EIS	Technology	Environmental and Ethical	Manufacturing	 A (£25,000), B	Crowdcube
Sugru	05256222	 	4.02%	11th October 2004	£3,388,150	£1,000,000	Hackney, London	2375	pitch-19593	https://www.crowdcube.com/investment/sugru-19593	EIS	Technology	Internet Business	Consumer products	 A (£20,000), B	Crowdcube
Notes Coffee	07176524	 	9.23%	3rd March 2010	£908,400	£600,000	City of Westminster, London	368	pitch-19141	https://www.crowdcube.com/investment/notes-coffee-19141	EIS	Retail	Leisure and Tourism	Food and Drink	 A (£5,000), B	Crowdcube
Ideas Britain	08375663	 	5.66%	25th January 2013	£269,900	£300,000	Manchester	139	pitch-18810	https://www.crowdcube.com/investment/ideas-britain-18810	EIS	Accelerator	TV and Theatre	Technology,Film	 A (£5,000), B	Crowdcube
Psonar	06609165	 	5.93%	2nd June 2008	£316,340	£250,000	London	76	pitch-18240	https://www.crowdcube.com/investment/psonar-18240	EIS	Internet Business	Consumer products	Media and Creative Services	 A (£1,000), B	Crowdcube
Workabode	08287859	 	5.00%	9th November 2012	£158,750	£150,000	City of Westminster, London	192	pitch-18523	https://www.crowdcube.com/investment/workabode-18523	EIS	Accelerator	Technology	Internet Business	 A (£10,000), B	Crowdcube
Savvy Foods	08609492	 	10.00%	14th July 2013	£85,010	£50,000	Sheffield, South Yorkshire	127	pitch-14552	https://www.crowdcube.com/investment/savvy-foods-14552	SEIS	Health & Fitness	Manufacturing	Food and Drink	 A (£500), B	Crowdcube
Adzuna	07301894	 	5.89%	30th June 2010	£2,112,916	£1,500,000	Hammersmith and Fulham, London	481	pitch-18820	https://www.crowdcube.com/investment/adzuna-18820	EIS	Technology	Internet Business		 Series B Preferred and B Ordinary Shares	Crowdcube
Keuken	09436112	 	17.00%	12th February 2015	£150,170	£100,000	Camden, London	159	pitch-18625	https://www.crowdcube.com/investment/keuken-18625	SEIS	Consumer products	Retail	Food and Drink	 A (£1,000), B	Crowdcube
Cornerstone	08367949	 	14.30%	21st January 2013	£876,810	£500,000	Soho, London	229	pitch-19235	https://www.crowdcube.com/investment/cornerstone-19235	EIS	Technology	Consumer products	Health & Fitness	 A (£5,000), B	Crowdcube
arc-on	08458813	 	20.00%	22nd March 2013	£79,510	£65,000	Lambeth, London	101	pitch-19529	https://www.crowdcube.com/investment/arc-on-19529	EIS	Sport & Leisure	Retail		 A (£3,000), B	Crowdcube
Hybrid Air Vehicles	06270723	 	5.49%	5th June 2007	£2,196,870	£2,000,000	City of London, London	911	pitch-18450	https://www.crowdcube.com/investment/hybrid-air-vehicles-18450	EIS	Other	Manufacturing		 A Shares Only	Crowdcube
Tipplesworth	08308220	 	14.29%	26th November 2012	£148,780	£100,000	Lambeth, London	87	pitch-19844	https://www.crowdcube.com/investment/tipplesworth-19844	SEIS	Food and Drink			 A (£5,000), B	Crowdcube
Chirp	07851934	 	16.70%	17th November 2011	£733,810	£400,000	Camden, London	332	pitch-18336	https://www.crowdcube.com/investment/chirp-18336	EIS	Technology	Internet Business		 A (£5,000), B	Crowdcube
Camden Town Brewery	09422924	 	3.00%	4th February 2015	£2,750,860	£1,500,000	Camden, London	2173	pitch-17825	https://www.crowdcube.com/investment/camden-town-brewery-17825	EIS	Food and Drink			 A (£25,000), B	Crowdcube
ShortCutQ	09335796	 	13.05%	1st December 2014	£124,530	£75,000	Royal Borough of Kensington and Chelsea, London	178	pitch-18580	https://www.crowdcube.com/investment/shortcutq-18580	SEIS	Professional and Business Services	Leisure and Tourism	Manufacturing	 A Shares Only	Crowdcube
Droplet	07852509	 	11.11%	18th November 2011	£549,020	£500,000	London	298	pitch-17239	https://www.crowdcube.com/investment/droplet-17239	EIS	Technology			 C (£200,000) & D Shares	Crowdcube
miPic	08315471	 	16.50%	3rd December 2012	£168,140	£174,920	Islington, London	59	pitch-17214	https://www.crowdcube.com/investment/mipic-17214	SEIS	Accelerator	Technology	Consumer products	 A (£10,000), B	Crowdcube
Good & Proper Tea	08136595	 	14.70%	9th July 2012	£184,990	£140,000	Lewisham, London	95	pitch-18935	https://www.crowdcube.com/investment/good-proper-tea-18935	EIS	Retail	Food and Drink		 A (£5,000), B	Crowdcube
Wrap It Up	07106419	 	6.25%	16th December 2009	£759,660	£400,000	London	568	pitch-18021	https://www.crowdcube.com/investment/wrap-it-up-18021	EIS	Food and Drink			 A Shares Only	Crowdcube
Staks	09082725	 	8.25%	11th June 2014	£83,310	£50,000	Bushey, Hertfordshire	106	pitch-19011	https://www.crowdcube.com/investment/staks-19011	SEIS	Health & Fitness	Retail	Food and Drink	 A (£1,500), B	Crowdcube
Tempus Energy Technology	09255104	 	10.00%	7th October 2014	£623,230	£500,000	Camden, London	235	pitch-18429	https://www.crowdcube.com/investment/tempus-energy-technology-18429	EIS	Technology	Consumer products	Environmental and Ethical	 A (£5,000), B	Crowdcube
MEEM	08397830	 	3.49%	11th February 2013	£709,900	£400,000	Islington, London	282	pitch-18066	https://www.crowdcube.com/investment/meem-18066	EIS	Technology	IT and Telecommunications		 A (£5,000), B	Crowdcube
Shoot	05151614	 	14.50%	10th June 2004	£472,570	£350,000	Southwark, London	267	pitch-17920	https://www.crowdcube.com/investment/shoot-17920	EIS	Internet Business			 A (£10,000), B	Crowdcube
Fourex	08691499	 	7.72%	15th September 2013	£670,760	£275,000	City of Westminster, London	424	pitch-17710	https://www.crowdcube.com/investment/fourex-17710	EIS	Technology			 A (£5,000), B shares	Crowdcube
Growler Beers	SC455582	 	20.00%	29th July 2013	£107,130	£100,000	Edinburgh, City of Edinburgh	114	pitch-18284	https://www.crowdcube.com/investment/growler-beers-18284	SEIS	Environmental and Ethical	Retail	Food and Drink	 A (£1,000), B	Crowdcube
Otti Prams	08642972	 	22.00%	7th August 2013	£89,310	£55,000	Exeter, Devon	135	pitch-18620	https://www.crowdcube.com/investment/otti-prams-18620	SEIS	Internet Business	Retail	Manufacturing	 A (£1,000), B	Crowdcube
Rebus Investment Group	08149823	 	4.96%	18th July 2012	£816,790	£600,000	London	109	pitch-18299	https://www.crowdcube.com/investment/rebus-investment-group-18299	EIS	Professional and Business Services			 A (£5,000), B	Crowdcube
Nom Foods	08472328	 	15.00%	2nd April 2013	£142,270	£100,000	Oxford, Oxfordshire	135	pitch-18015	https://www.crowdcube.com/investment/nom-foods-18015	EIS	Consumer products	Health & Fitness	Food and Drink	 A (£8,000), B	Crowdcube
Alchemiya Media	08785173	 	2.40%	21st November 2013	£117,320	£60,000	Waltham Forest, London	153	pitch-17630	https://www.crowdcube.com/investment/alchemiya-media-17630	SEIS	TV and Theatre	Film		 B (£1,000), C	Crowdcube
Health-Connected	07987967	 	4.50%	13th March 2012	£142,920	£75,000	Teddington, Greater London	64	pitch-18602	https://www.crowdcube.com/investment/health-connected-18602	EIS	Technology	Internet Business	Health & Fitness	 A (£5,000), B	Crowdcube
JustPark	05956777	 	4.76%	4th October 2006	£3,514,110	£1,000,000	Camden, London	2702	pitch-18074	https://www.crowdcube.com/investment/justpark-18074		Technology	Internet Business	Consumer products	 Ordinary D shares	Crowdcube
Floodkit	08223971	 	22.50%	20th September 2012	£135,550	£150,000	Lancashire	110	pitch-16516	https://www.crowdcube.com/investment/floodkit-16516	SEIS	Consumer products	Environmental and Ethical	Manufacturing	 A (£5,000), B	Crowdcube
Pocket Living Bond		 			£1,468,000		City of Westminster, London	332	pitch-18663	https://www.crowdcube.com/investment/pocket-living-bond-18663		Other				Crowdcube
Facewatch	07209931	 	8.10%	30th March 2010	£484,620	£500,000	City of Westminster, London	148	pitch-13845	https://www.crowdcube.com/investment/facewatch-13845	EIS	Technology	Internet Business		 A Shares Only	Crowdcube
Flavourly	SC430601	 	23.08%	16th August 2012	£506,911	£300,000	Edinburgh, City of Edinburgh	315	pitch-18263	https://www.crowdcube.com/investment/flavourly-18263	EIS	Internet Business	Retail	Food and Drink	 A (£20,000), B	Crowdcube
