company	company_number	days_left	equity_perc_offered	founded	investment_received	investment_required	location	num_investors	pitch_id	pitch_url	scheme	sector_1	sector_2	sector_3	type	Source
The Bellfield Brewery	SC492519	 	15.00%	2nd December 2014	£178,800	£150,000	Edinburgh, City of Edinburgh	166	pitch-18344	https://www.crowdcube.com/investment/the-bellfield-brewery-18344	SEIS	Food and Drink			 A (£10,000), B	Crowdcube
Pull'd	08891060	 	20.00%	12th February 2014	£102,230	£100,000	City of London, London	107	pitch-17889	https://www.crowdcube.com/investment/pull-d-17889	EIS	Retail	Food and Drink		 A (£1,500), B	Crowdcube
The Pressery	08929066	 	15.00%	7th March 2014	£144,340	£100,000	Hackney, London	60	pitch-18531	https://www.crowdcube.com/investment/the-pressery-18531	SEIS	Food and Drink			 A (£5,000), B	Crowdcube
Mr Shericks Shakes	08419079	 	23.00%	26th February 2013	£279,950	£250,000	Barnet, London	229	pitch-17348	https://www.crowdcube.com/investment/mr-shericks-shakes-17348	EIS	Food and Drink			 A (£2,000), B	Crowdcube
Compare and Share	08365213	 	4.76%	17th January 2013	£122,550	£100,000	Brighton and Hove, East Sussex	215	pitch-17793	https://www.crowdcube.com/investment/compare-and-share-17793	EIS	Internet Business	Environmental and Ethical	Other	 A (£10,000), B	Crowdcube
Lettingsupermarket.com	08140303	 	20.00%	11th July 2012	£243,860	£250,000	Longden, Shropshire	44	pitch-17579	https://www.crowdcube.com/investment/lettingsupermarket-com-17579	EIS	Internet Business	Other	Professional and Business Services	 A (£1,000), B	Crowdcube
Cauli Rice	08744091	 	5.88%	21st October 2013	£434,020	£200,000	Camden, London	307	pitch-18444	https://www.crowdcube.com/investment/cauli-rice-18444	EIS	Consumer products	Health & Fitness	Food and Drink	 A (£150,000), B	Crowdcube
raterAgent	09257092	 	7.00%	8th October 2014	£134,050	£75,000	Camden, London	133	pitch-18639	https://www.crowdcube.com/investment/rateragent-18639	SEIS	Technology	Internet Business	Professional and Business Services	 A (£3,500), B	Crowdcube
Powervault	08313356	 	25.93%	29th November 2012	£707,590	£350,000	Southwark, London	265	pitch-18689	https://www.crowdcube.com/investment/powervault-18689	EIS	Technology	Environmental and Ethical	Retail	 A (£10,000), B	Crowdcube
Firestar	09400321	 	10.00%	21st January 2015	£150,520	£150,000	Oxford, Oxfordshire	142	pitch-18123	https://www.crowdcube.com/investment/firestar-18123	SEIS	Consumer products	Health & Fitness	Food and Drink	 A (£5,000), B	Crowdcube
The Crowd	07495994	 	20.00%	18th January 2011	£449,570	£300,000	London	243	pitch-17816	https://www.crowdcube.com/investment/the-crowd-17816	EIS	Technology	Environmental and Ethical	Professional and Business Services	 A (£10,000), B	Crowdcube
Enclothed	08251865	 	21.00%	11th October 2012	£459,840	£400,000	City of Westminster, London	325	pitch-18090	https://www.crowdcube.com/investment/enclothed-18090	EIS	Technology	Retail		 A (£20,000), B	Crowdcube
Soul Tree Wine	06877371	 	16.50%	14th April 2009	£365,010	£350,000	Birmingham, West Midlands	219	pitch-17188	https://www.crowdcube.com/investment/soul-tree-wine-17188	EIS	Manufacturing	Food and Drink		 A (£10,000), B	Crowdcube
Sandows	08657470	 	15.00%	19th August 2013	£124,390	£100,000	Islington, London	110	pitch-17120	https://www.crowdcube.com/investment/sandows-17120	SEIS	Consumer products	Art and Design	Food and Drink	 A (£5,000), B	Crowdcube
AEVHA London	08701400	 	10.00%	22nd September 2013	£149,990	£150,000	Richmond upon Thames, London	77	pitch-17645	https://www.crowdcube.com/investment/aevha-london-17645	SEIS	Consumer products	Retail	Art and Design	 A Shares Only	Crowdcube
CHOC+	SC376134	 	18.03%	31st March 2010	£168,570	£110,000	Glasgow, Glasgow City	183	pitch-17477	https://www.crowdcube.com/investment/choc+-17477	EIS	Food and Drink			 A (£5,000), B	Crowdcube
The Solar Cloth Company	08037271	 	10.00%	18th April 2012	£967,130	£750,000	Cambridge, Cambridgeshire	392	pitch-16389	https://www.crowdcube.com/investment/the-solar-cloth-company-16389	EIS	Technology	Environmental and Ethical		 B Shares Only	Crowdcube
Gamesgrabr	07272782	 	6.67%	2nd June 2010	£454,734	£250,000	Bromley, Greater London	221	pitch-17054	https://www.crowdcube.com/investment/gamesgrabr-17054	EIS	Technology	Internet Business	Retail	 A (£20,000), B	Crowdcube
Pizza Rossa	08576625	 	10.12%	19th June 2013	£159,250	£150,000	City of London, London	119	pitch-17572	https://www.crowdcube.com/investment/pizza-rossa-17572	EIS	Retail	Manufacturing	Food and Drink	 A (£14,500), B	Crowdcube
Rough Runner	08954089	 	15.60%	24th March 2014	£178,900	£130,000	Harrow, Greater London	144	pitch-16722	https://www.crowdcube.com/investment/rough-runner-16722		Sport & Leisure			 A (£25,000), B	Crowdcube
Mindflood	NI611217	 	12.00%	1st January 1970	£175,060	£100,000	Belfast	152	pitch-17202	https://www.crowdcube.com/investment/mindflood-17202	EIS	Accelerator	Technology	Education	 A (£5,000), B	Crowdcube
LICKALIX	08369202	 	15.00%	21st January 2013	£231,340	£225,000	Camden, London	209	pitch-16721	https://www.crowdcube.com/investment/lickalix-16721	EIS	Food and Drink			 A (£5,000), B	Crowdcube
Carbonlights Solutions	06615381	 	18.00%	9th June 2008	£199,950	£180,000	Coleford, Gloucestershire	94	pitch-17035	https://www.crowdcube.com/investment/carbonlights-solutions-17035	EIS	Manufacturing			 B Shares Only	Crowdcube
Bitreserve		 	10.70%		£6,346,038	£6,000,000	Charleston, South Carolina	149	pitch-16565	https://www.crowdcube.com/investment/bitreserve-16565		Technology	Internet Business		 A Shares Only	Crowdcube
Fabric	08449853	 	12.00%	18th March 2013	£133,120	£120,000	Tower Hamlets, London	105	pitch-17000	https://www.crowdcube.com/investment/fabric-17000	SEIS	Accelerator	Technology	Internet Business	 A (£250), B	Crowdcube
Taylor Street Baristas - The Coffee Bond	09187937	 		27th August 2014	£1,805,500		City of London, London	493	pitch-17309	https://www.crowdcube.com/investment/taylor-street-baristas-the-coffee-bond-17309		Food and Drink				Crowdcube
AutoTrip	08703170	 	14.29%	23rd September 2013	£146,030	£100,000	Southwark, London	126	pitch-17456	https://www.crowdcube.com/investment/autotrip-17456	SEIS	Internet Business	Professional and Business Services	IT and Telecommunications	 A (£10,000), B	Crowdcube
Good Egg Restaurants	09212813	 	24.00%	9th September 2014	£253,540	£180,000	Hackney, London	244	pitch-16049	https://www.crowdcube.com/investment/good-egg-restaurants-16049	SEIS	Food and Drink			 A (£5,000), B	Crowdcube
DeskBeers	09262678	 	17.00%	13th October 2014	£121,900	£80,000	Islington, London	184	pitch-17148	https://www.crowdcube.com/investment/deskbeers-17148	EIS	Retail	Professional and Business Services	Food and Drink	 Ordinary Shares	Crowdcube
Minor Figures	09086859	 	13.00%	15th June 2014	£148,890	£100,000	Hackney, London	81	pitch-17558	https://www.crowdcube.com/investment/minor-figures-17558	SEIS	Food and Drink			 A (£10,000), B	Crowdcube
Luxtripper	08398260	 	6.70%	11th February 2013	£152,650	£150,000	Wandsworth, London	61	pitch-16799	https://www.crowdcube.com/investment/luxtripper-16799		Technology	Leisure and Tourism		 A (£10,000), B	Crowdcube
Terence Woodgate Lighting	08874731	 	17.00%	4th February 2014	£195,590	£150,000	Mayfield, East Sussex	157	pitch-17100	https://www.crowdcube.com/investment/terence-woodgate-lighting-17100		Consumer products	Art and Design		 A (£5,000), B	Crowdcube
Earlybird	09075003	 	15.00%	5th June 2014	£126,550	£75,000	Brent, London	126	pitch-15994	https://www.crowdcube.com/investment/earlybird-15994	SEIS	Technology	Consumer products	Food and Drink	 A (£2,500), B	Crowdcube
Fidel	08068829	 	10.31%	14th May 2012	£220,240	£230,000	London	203	pitch-15155	https://www.crowdcube.com/investment/fidel-15155	EIS	Technology	Retail	Food and Drink	 A (£5,000), B	Crowdcube
Grub Club	08238061	 	15.63%	2nd October 2012	£288,560	£250,000	Hammersmith and Fulham, London	270	pitch-16374	https://www.crowdcube.com/investment/grub-club-16374	EIS	Technology	Internet Business	Food and Drink	 A (£10,000), B	Crowdcube
Videogram	08172692	 	15.00%	7th August 2012	£55,920	£40,000	Hounslow, Greater London	64	pitch-14805	https://www.crowdcube.com/investment/videogram-14805	SEIS	Technology	Consumer products		 A (£5,000), B	Crowdcube
My Mate Your Date	08769822	 	20.00%	11th November 2013	£145,560	£130,000	Islington, London	132	pitch-16803	https://www.crowdcube.com/investment/my-mate-your-date-16803	SEIS	Technology	Internet Business	Consumer products	 A (£10,000), B	Crowdcube
UBREW	09153771	 	10.00%	29th July 2014	£110,730	£75,000	Southwark, London	125	pitch-17178	https://www.crowdcube.com/investment/ubrew-17178	SEIS	Accelerator	Food and Drink		 A (£5,000), B	Crowdcube
Wayv Technologies	08420030	 	10.00%	26th February 2013	£150,000	£150,000	Thundridge, Hertfordshire	37	pitch-17001	https://www.crowdcube.com/investment/wayv-technologies-17001	SEIS	Technology	Other	Retail	 A (£5,000), B	Crowdcube
Beara Beara	08224983	 	13.00%	23rd September 2012	£203,540	£180,000	Haringey, London	131	pitch-16830	https://www.crowdcube.com/investment/beara-beara-16830	EIS	Consumer products	Environmental and Ethical	Retail	 A (£5,000), B	Crowdcube
SuperJam	SC484808	 	10.00%	20th August 2014	£308,180	£250,000	Edinburgh, City of Edinburgh	367	pitch-16671	https://www.crowdcube.com/investment/superjam-16671	EIS	Food and Drink			 A (£25,000), B	Crowdcube
The DoNation	08688899	 	12.00%	11th September 2013	£167,440	£150,000	Camden, London	209	pitch-16310	https://www.crowdcube.com/investment/the-donation-16310	SEIS	Internet Business	Environmental and Ethical	Professional and Business Services	 A (£5,000), B	Crowdcube
Twenty Something London	08768498	 	7.40%	8th November 2013	£156,410	£160,000	Camden, London	127	pitch-16634	https://www.crowdcube.com/investment/twenty-something-london-16634	EIS	Technology	Internet Business	Food and Drink	 A (£10,000), B	Crowdcube
Cell Therapy	06970743	 	0.39%	22nd July 2009	£689,246	£250,000	Llanedeyrn, Cardiff	297	pitch-17426	https://www.crowdcube.com/investment/cell-therapy-17426	EIS	Technology	Health & Fitness		 A (£50,000), B	Crowdcube
Innovation Makers	08551488	 	20.00%	30th May 2013	£179,690	£150,000	Brecon, Powys	87	pitch-16677	https://www.crowdcube.com/investment/innovation-makers-16677	SEIS	Consumer products	Leisure and Tourism	Manufacturing	 A (£2,500), B	Crowdcube
Meet on VC	07729513	 	10.00%	3rd August 2011	£203,010	£200,000	Swindon	43	pitch-15898	https://www.crowdcube.com/investment/meet-on-vc-15898	EIS	Technology	Internet Business	IT and Telecommunications	 A (£5,000), B	Crowdcube
Soupologie	08076111	 	16.00%	20th May 2012	£199,280	£120,000	Brent, London	119	pitch-16017	https://www.crowdcube.com/investment/soupologie-16017	EIS	Accelerator	Health & Fitness	Food and Drink	 A (£5,000), B	Crowdcube
Rollasole	06606750	 	7.50%	29th May 2008	£269,240	£150,000	Bristol, City of Bristol	135	pitch-16269	https://www.crowdcube.com/investment/rollasole-16269	EIS	Consumer products	Retail		 A Shares and C Shares (voting)	Crowdcube
Eden Project Bond	09247317	 		2nd October 2014	£1,500,000		St Blazey, Cornwall	354	pitch-17109	https://www.crowdcube.com/investment/eden-project-bond-17109		Education				Crowdcube
London Velvet	04966819	 	15.00%	17th November 2003	£54,960	£35,000	Littleover, Derby	70	pitch-16013	https://www.crowdcube.com/investment/london-velvet-16013	SEIS	Food and Drink			 A (£1,000), B	Crowdcube
Astar Pets	08544545	 	11.76%	23rd May 2013	£350,770	£250,000	Tower Hamlets, London	133	pitch-15611	https://www.crowdcube.com/investment/astar-pets-15611	EIS	Sport & Leisure	Consumer products	Retail	 A (£25,000), B	Crowdcube
Odyssey	07362263	 	5.00%	31st August 2010	£929,610	£1,000,000	London Bridge, London	199	pitch-15419	https://www.crowdcube.com/investment/odyssey-15419	EIS	Other	Leisure and Tourism		 A (£10,000), B	Crowdcube
Sustainable Power	07256772	 	15.60%	17th May 2010	£1,836,400	£2,000,000	Bicester, Oxford	80	pitch-16402	https://www.crowdcube.com/investment/sustainable-power-16402	EIS	Technology	Oil & Gas	Environmental and Ethical	 A (£5,000), B	Crowdcube
CGON	08234358	 	10.00%	30th September 2012	£158,890	£150,000	Marsh Barton, Exeter, Devon	115	pitch-15808	https://www.crowdcube.com/investment/cgon-15808		Accelerator	Technology	Environmental and Ethical	 A (£7,500), B	Crowdcube
LendMeYourLiteracy	07784707	 	3.33%	22nd September 2011	£171,060	£100,000	Islington, London	98	pitch-16177	https://www.crowdcube.com/investment/lendmeyourliteracy-16177		Accelerator	Education		 A (£10,000), B	Crowdcube
Shopwave	08675002	 	10.00%	2nd September 2013	£340,710	£200,000	Southwark, London	214	pitch-16205	https://www.crowdcube.com/investment/shopwave-16205	EIS	Technology	Retail	IT and Telecommunications	 A (£25,000), B	Crowdcube
Pip & Nut	08624397	 	16.66%	24th July 2013	£120,000	£100,000	Lambeth, London	81	pitch-15259	https://www.crowdcube.com/investment/pip-nut-15259	SEIS	Manufacturing	Food and Drink		 A (£5,000), B	Crowdcube
1Rebel	08827353	 	27.56%	30th December 2013	£1,542,660	£1,150,000	Camden, London	293	pitch-15845	https://www.crowdcube.com/investment/1rebel-15845	EIS	Health & Fitness			 A (£25,000), B	Crowdcube
Hubbub	07699834	 	8.12%	10th July 2011	£395,470	£250,000	Islington, London	176	pitch-16396	https://www.crowdcube.com/investment/hubbub-16396	EIS	Technology	Internet Business	Education	 A (£5,000), B	Crowdcube
Water-to-Go	07285515	 	5.00%	14th June 2010	£191,910	£125,000	Luton	187	pitch-15748	https://www.crowdcube.com/investment/water-to-go-15748	EIS	Health & Fitness	Environmental and Ethical	Food and Drink	 A (£5,000), B	Crowdcube
easyProperty.com	09210707	 	1.50%	8th September 2014	£1,358,680	£1,000,000	Tower Hamlets, London	376	pitch-16655	https://www.crowdcube.com/investment/easyproperty-com-16655		Internet Business	Professional and Business Services		 Ordinary Shares	Crowdcube
Cauli-Rice	08744091	 	16.73%	21st October 2013	£498,710	£300,000	Wandsworth, London	285	pitch-16014	https://www.crowdcube.com/investment/cauli-rice-16014	SEIS	Health & Fitness	Retail	Food and Drink	 B Shares Only	Crowdcube
Renovagen	08308732	 	10.70%	27th November 2012	£262,250	£150,000	Harpenden, Hertfordshire	155	pitch-16189	https://www.crowdcube.com/investment/renovagen-16189		Accelerator	Technology	Environmental and Ethical	 A (£10,000), B	Crowdcube
Chilango - The Burrito Bond		 			£2,035,000		London	709	pitch-15934	https://www.crowdcube.com/investment/chilango-the-burrito-bond-15934		Food and Drink				Crowdcube
Powervault	08313356	 	18.18%	29th November 2012	£150,000	£100,000	Southwark, London	19	pitch-16496	https://www.crowdcube.com/investment/powervault-16496	SEIS	Technology	Oil & Gas	Environmental and Ethical	 A (£10,000), B	Crowdcube
Peach Lettings	08650190	 	14.18%	13th August 2013	£74,550	£56,730	Fotheringhay, Northamptonshire	92	pitch-14902	https://www.crowdcube.com/investment/peach-lettings-14902	SEIS	Internet Business	Other	Professional and Business Services	 A (£3,500), B	Crowdcube
Crowdcube	07014587	 	25.64%	9th September 2009	£5,000,000	£5,000,000	Exeter, Devon	146	pitch-16278	https://www.crowdcube.com/investment/crowdcube-16278	EIS	Internet Business	Professional and Business Services		 B Shares Only	Crowdcube
E-Sign	07937425	 	10.00%	6th February 2012	£64,760	£50,000	Liverpool, Merseyside	99	pitch-14248	https://www.crowdcube.com/investment/e-sign-14248	SEIS	Internet Business			 A (£5,000), B	Crowdcube
FarmDrop	08111929	 	17.00%	19th June 2012	£748,880	£400,000	Tower Hamlets, London	352	pitch-16133	https://www.crowdcube.com/investment/farmdrop-16133	EIS	Internet Business	Environmental and Ethical	Food and Drink	 A (£25,000), B	Crowdcube
Stickyboard	07115545	 	8.30%	4th January 2010	£55,620	£50,000	Greenwich, London	55	pitch-13313	https://www.crowdcube.com/investment/stickyboard-13313	EIS	Internet Business	Environmental and Ethical	Media and Creative Services	 A (£1,000), B	Crowdcube
Shamba Technologies	07094993	 	15.00%	4th December 2009	£112,600	£95,000	Islington, London	144	pitch-15531	https://www.crowdcube.com/investment/shamba-technologies-15531	EIS	Technology	Environmental and Ethical	Manufacturing	 A (£5,000), B	Crowdcube
Enistic	06908381	 	5.00%	17th May 2009	£340,860	£125,000	Oxford, Oxfordshire	205	pitch-15269	https://www.crowdcube.com/investment/enistic-15269	EIS	Technology	Environmental and Ethical	Professional and Business Services	 A Shares Only	Crowdcube
Open Desk	08311674	 	10.00%	28th November 2012	£308,370	£150,000	City of Westminster, London	151	pitch-15500	https://www.crowdcube.com/investment/open-desk-15500	EIS	Internet Business	Consumer products	Art and Design	 A (£10,000), B	Crowdcube
Health-Connected	07987967	 	15.00%	13th March 2012	£160,940	£150,000	Teddington, Greater London	69	pitch-15255	https://www.crowdcube.com/investment/health-connected-15255	SEIS	Internet Business	Health & Fitness	IT and Telecommunications	 A (£5,000), B	Crowdcube
Bookbarn International	04367645	 	6.30%	6th February 2002	£45,360	£45,400	Clutton, Bath and North East Somerset	54	pitch-15675	https://www.crowdcube.com/investment/bookbarn-international-15675	EIS	Consumer products	Retail	Education	 A Shares Only	Crowdcube
Rollerscoot	08452830	 	15.00%	20th March 2013	£207,720	£150,000	Paignton, Devon	92	pitch-15596	https://www.crowdcube.com/investment/rollerscoot-15596	SEIS	Technology	Health & Fitness	Manufacturing	 A (£10,000), B	Crowdcube
Monsieur Notebook	06658664	 	20.00%	28th July 2008	£92,020	£75,000	City of Westminster, London	77	pitch-15125	https://www.crowdcube.com/investment/monsieur-notebook-15125	EIS	Consumer products	Retail	Manufacturing	 A (£5,000), B	Crowdcube
Zero Carbon Food	08067659	 	15.00%	13th May 2012	£580,810	£300,000	Wandsworth, London	482	pitch-13724	https://www.crowdcube.com/investment/zero-carbon-food-13724	EIS	Environmental and Ethical	Food and Drink		 A (£25,000), B	Crowdcube
Love space	07659017	 	13.00%	5th June 2011	£1,562,960	£600,000	Merton, London	257	pitch-15547	https://www.crowdcube.com/investment/love-space-15547	EIS	Internet Business	Professional and Business Services		 A (£25,000), B	Crowdcube
Scaramouche & Fandango	07369287	 	12.50%	7th September 2010	£149,089	£150,000	Hammersmith and Fulham, London	72	pitch-15591	https://www.crowdcube.com/investment/scaramouche-fandango-15591	SEIS	Consumer products	Retail	Manufacturing	 B Shares Only	Crowdcube
River Cottage Bond		 			£993,500		Axminster, Devon	285	pitch-15981	https://www.crowdcube.com/investment/river-cottage-bond-15981		Food and Drink				Crowdcube
myBarrister	08136883	 	3.75%	9th July 2012	£168,630	£150,000	London	80	pitch-15192	https://www.crowdcube.com/investment/mybarrister-15192	SEIS	Technology	Professional and Business Services		 A (£5,000), B	Crowdcube
Plan Bee	SC406536	 	11.80%	31st August 2011	£105,480	£60,000	Wishaw, North Lanarkshire	167	pitch-12469	https://www.crowdcube.com/investment/plan-bee-12469	EIS	Environmental and Ethical	Food and Drink		 A (£5,000), B	Crowdcube
Chupamobile	07956366	 	10.00%	20th February 2012	£740,030	£400,000	City of Westminster, London	122	pitch-14875	https://www.crowdcube.com/investment/chupamobile-14875	EIS	Technology	Internet Business	IT and Telecommunications	 B Shares Only	Crowdcube
BerryWhite	07777450	 	6.00%	18th September 2011	£291,380	£300,000	City of Westminster, London	172	pitch-15324	https://www.crowdcube.com/investment/berrywhite-15324	EIS	Food and Drink			 A (£10,000), B	Crowdcube
JewelStreet	08105128	 	9.09%	13th June 2012	£188,120	£100,000	Bideford, Devon	71	pitch-14987	https://www.crowdcube.com/investment/jewelstreet-14987	EIS	Technology	Internet Business	Media and Creative Services	 A Shares Only	Crowdcube
Crowdfunder	07831511	 	10.00%	2nd November 2011	£486,270	£500,000	Newquay, Cornwall	346	pitch-15172	https://www.crowdcube.com/investment/crowdfunder-15172	SEIS	Internet Business	Media and Creative Services		 A (£50,000), B	Crowdcube
The New Craftsmen	07675871	 	5.40%	20th June 2011	£164,530	£150,000	Mayfair, London	65	pitch-14691	https://www.crowdcube.com/investment/the-new-craftsmen-14691	EIS	Internet Business	Retail	Art and Design	 A (£5,000), B	Crowdcube
Thor Drinks	08118710	 	8.76%	25th June 2012	£42,750	£43,810	Enfield, London	44	pitch-14887	https://www.crowdcube.com/investment/thor-drinks-14887	SEIS	Food and Drink			 A (£5,000), B	Crowdcube
LocalPropertyIndex	08284226	 	26.18%	7th November 2012	£159,960	£172,080	Chandler's Ford, Eastleigh, Hampshire	38	pitch-15442	https://www.crowdcube.com/investment/localpropertyindex-15442	EIS	Internet Business			 A (£7,500), B	Crowdcube
Workabode (formerly One City)	08287859	 	5.00%	9th November 2012	£118,760	£70,000	Henley-On-Thames, Oxfordshire	177	pitch-13208	https://www.crowdcube.com/investment/workabode-formerly-one-city-13208	SEIS	Technology	Internet Business	Professional and Business Services	 A (£10,000), B	Crowdcube
Empiribox	08261350	 	5.00%	18th October 2012	£57,780	£50,000	Barnet, London	52	pitch-15089	https://www.crowdcube.com/investment/empiribox-15089	SEIS	Technology	Professional and Business Services	Education	 A (£5,000), B	Crowdcube
Orsto	08372991	 	7.00%	24th January 2013	£70,320	£60,000	Durham, County Durham	84	pitch-14790	https://www.crowdcube.com/investment/orsto-14790	SEIS	Technology	IT and Telecommunications		 A (£2,000), B	Crowdcube
Best of All Worlds		 	7.40%		£428,330	£200,000	Stockholm, Sweden	67	pitch-14964	https://www.crowdcube.com/investment/best-of-all-worlds-14964		Internet Business	Media and Creative Services	IT and Telecommunications	 A Shares Only	Crowdcube
Stacking Systems	09015443	 	10.00%	28th April 2014	£94,740	£80,000	Wolverhampton	85	pitch-12691	https://www.crowdcube.com/investment/stacking-systems-12691	SEIS	Technology	Other	Manufacturing	 A (£5,000), B	Crowdcube
EstatesDirect.com	07382804	 	5.00%	20th September 2010	£493,550	£250,000	Worcester, Worcestershire	181	pitch-15048	https://www.crowdcube.com/investment/estatesdirect-com-15048	SEIS	Internet Business	Professional and Business Services	IT and Telecommunications	 B Shares Only	Crowdcube
Ecco Recordings	07622496	 	12.50%	4th May 2011	£140,390	£90,000	Newton Abbot, Devon	82	pitch-14357	https://www.crowdcube.com/investment/ecco-recordings-14357	EIS	TV and Theatre	Film	Media and Creative Services,Other	 B Shares Only	Crowdcube
UP Investments - The Crowdfunding Hub	08273962	 	13.33%	30th October 2012	£137,390	£100,000	Bristol, City of Bristol	59	pitch-14934	https://www.crowdcube.com/investment/up-investments-the-crowdfunding-hub-14934	SEIS	Professional and Business Services			 A (£3,000), B	Crowdcube
Rib Club Global	08709976	 	27.27%	29th September 2013	£157,590	£150,000	Chalkhouse Green, Reading, Oxfordshire	36	pitch-14321	https://www.crowdcube.com/investment/rib-club-global-14321	EIS	Sport & Leisure	Leisure and Tourism		 A (£2,000), B	Crowdcube
Blanco Nino	08792620	 	6.64%	27th November 2013	£121,550	£60,000	Islington, London	87	pitch-14836	https://www.crowdcube.com/investment/blanco-nino-14836	SEIS	Internet Business	Manufacturing	Food and Drink	 A Shares Only	Crowdcube
Red Advertising	05269423	 	15.00%	25th October 2004	£484,350	£400,000	Cannock, Staffordshire	86	pitch-14741	https://www.crowdcube.com/investment/red-advertising-14741	EIS	Technology	Internet Business	IT and Telecommunications	 A Shares Only	Crowdcube
Clear Water Revival	06495634	 	12.50%	6th February 2008	£179,850	£160,000	Bristol, City of Bristol	131	pitch-14337	https://www.crowdcube.com/investment/clear-water-revival-14337	EIS	Technology	Environmental and Ethical	Manufacturing	 A (£15,000), B	Crowdcube
Fantoo Limited	08026850	 	24.21%	10th April 2012	£216,460	£173,170	London, UK	132	pitch-12587	https://www.crowdcube.com/investment/fantoo-limited-12587	SEIS	Technology	Internet Business	IT and Telecommunications	 A (£15,000), B	Crowdcube
WallJAM	05203592	 	10.00%	10th August 2004	£113,650	£100,000	Stevenage, Hertfordshire	103	pitch-13332	https://www.crowdcube.com/investment/walljam-13332	EIS	Sport & Leisure	Technology	Health & Fitness	 A Shares Only	Crowdcube
Seeme	08283962	 	20.00%	7th November 2012	£25,690	£20,000	Manchester	44	pitch-14038	https://www.crowdcube.com/investment/seeme-14038	SEIS	Technology	Internet Business	Education	 A (£1,000), B	Crowdcube
Pulmorphix	08601414	 	20.00%	7th July 2013	£124,910	£100,000	Liverpool, Merseyside	103	pitch-15023	https://www.crowdcube.com/investment/pulmorphix-15023	SEIS	Technology			 A (£5,000), B	Crowdcube
Crumpet Cashmere	08277744	 	10.00%	1st November 2012	£163,410	£75,000	Colchester, Essex	112	pitch-14706	https://www.crowdcube.com/investment/crumpet-cashmere-14706	EIS	Retail			 A (£5,000), B	Crowdcube
Dine In	07458196	 	23.08%	2nd December 2010	£306,950	£300,000	Islington, London	93	pitch-13625	https://www.crowdcube.com/investment/dine-in-13625	EIS	Internet Business	Retail	Food and Drink	 A (£5,000), B	Crowdcube
Earwig Academic Reporting	08304947	 	14.00%	23rd November 2012	£132,630	£140,000	Ripley, Surrey	61	pitch-13964	https://www.crowdcube.com/investment/earwig-academic-reporting-13964	SEIS	Internet Business	Retail	Education	 A (£20,000), B	Crowdcube
Sporting Mouth	08816510	 	15.00%	16th December 2013	£224,650	£175,000	West Malling, Kent	46	pitch-14940	https://www.crowdcube.com/investment/sporting-mouth-14940	SEIS	Sport & Leisure	Technology	Internet Business	 A (£10,000), B	Crowdcube
LawBit T/A LawBite	08066586	 	6.48%	10th May 2012	£168,260	£120,000	Wandsworth, London	179	pitch-14677	https://www.crowdcube.com/investment/lawbit-t-a-lawbite-14677	EIS	Professional and Business Services			 A Shares Only	Crowdcube
